Robert Sanchez
Lewis Dunk
Adam Webster
Pervis Estupinan
Marc Cucurella
Pascal Grob
Moises Caicedo
Alexis Mac Allister
Leandro Trossard
Kaoru Mitoma
Danny Welbeck
David de Gea
Lisandro Martinez
Raphael Varane
Diogo Dalot
Tyrell Malacia
Casemiro
Bruno Fernandes
Christian Eriksen
Marcus Rashford
Antony
Rasmus Hojlund
James Trafford
Ben Mee
Nathan Collins
Phil Bardsley
Taylor Harwood-Bellis
Josh Brownhill
Dwight McNeil
Jeff Hendrick
Maxwel Cornet
Wout Weghorst
Jay Rodriguez
Alisson Becker
Trent Alexander-Arnold
Virgil van Dijk
Ibrahima Konate
Andrew Robertson
Fabinho
Jordan Henderson
Thiago Alcantara
Mohamed Salah
Darwin Nunez
Luis Diaz
Kepa Arrizabalaga
Reece James
Thiago Silva
Wesley Fofana
Ben Chilwell
Enzo Fernandez
Mateo Kovacic
N'Golo Kante
Mason Mount
Raheem Sterling
Mykhailo Mudryk
Jose Sa
Max Kilman
Conor Coady
Marcal
Ruben Vinagre
Joao Moutinho
Leander Dendoncker
Matheus Nunes
Rayan Ait-Nouri
Said Benrahma
Hwang Hee-chan
Aaron Ramsdale
Ben White
William Saliba
Gabriel Magalhaes
Oleksandr Zinchenko
Martin odegaard
Thomas Partey
Declan Rice
Bukayo Saka
Gabriel Jesus
Eddie Nketiah
Bernd Leno
Tosin Adarabioyo
Tim Ream
Antonee Robinson
Nathaniel Chalobah
Andreas Pereira
Joao Palhinha
Harrison Reed
Aleksandar Mitrovic
Bobby Decordova-Reid
Willian
Nick Pope
Kieran Trippier
Fabian Schar
Sven Botman
Dan Burn
Bruno Guimaraes
Jonjo Shelvey
Joe Willock
Callum Wilson
Alexander Isak
Miguel Almiron
Ederson
Kyle Walker
Ruben Dias
John Stones
Joao Cancelo
Kevin De Bruyne
Rodri
Ilkay Gundogan
Erling Haaland
Phil Foden
Julian Alvarez
Hugo Lloris
Cristian Romero
Eric Dier
Pervis Estupinan
Sergio Reguilon
Pierre-Emile Hojbjerg
Rodrigo Bentancur
Dejan Kulusevski
Harry Kane
Son Heung-min
Richarlison
David Raya
Kristoffer Ajer
Sergi Canos
Shandon Baptiste
Mads Roerslev
Christian Norgaard
Mathias Jensen
Josh Dasilva
Ivan Toney
Bryan Mbeumo
Yoane Wissa
Emiliano Martinez
Tyrone Mings
Ezri Konsa
Diego Carlos
Matty Cash
John McGinn
Jacob Ramsey
Douglas Luiz
Ollie Watkins
Leon Bailey
Philippe Coutinho
Anthony Patterson
Denver Hume
Anthony O'Connor
John Johnson
Connor McLaughlin
Luke O'Nien
Alex Pritchard
Ross Stewart
Elliot Embleton
Jack Clarke
Charlie Wyke
Vicente Guaita
Tyrick Mitchell
Joel Ward
Marc Guehi
Nathaniel Clyne
James McArthur
Eberechi Eze
Conor Gallagher
Wilfried Zaha
Odsonne Edouard
Jordan Ayew
Lukasz Fabianski
Aaron Cresswell
Craig Dawson
Kurt Zouma
Vladimir Coufal
Declan Rice
Tomas Soucek
Pablo Fornals
Michail Antonio
Said Benrahma
Jarrod Bowen
Mark Travers
Adam Smith
Chris Mepham
Lloyd Kelly
Jordan Zemura
Lewis Cook
Ryan Fredericks
Philip Billing
Dominic Solanke
Marcus Tavernier
Jaidon Anthony
Brice Samba
Joe Worrall
Scott McKenna
Brennan Johnson
Djed Spence
Ryan Yates
Morgan Gibbs-White
James Garner
Taiwo Awoniyi
Brennan Johnson
Omar Richards
Jordan Pickford
James Tarkowski
Ben Godfrey
Nathan Patterson
Vitalii Mykolenko
Alex Iwobi
Amadou Onana
Andros Townsend
Dominic Calvert-Lewin
Anthony Gordon
Neal Maupay
Illan Meslier
Luke Ayling
Pascal Struijk
Diego Llorente
Rasmus Kristensen
Kalvin Phillips
Mateusz Klich
Daniel James
Jack Harrison
Rodrigo Moreno
Luis Sinisterra
